,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,2112495.0,2146051.5829343363,2180141.205832426,2214772.335933127,2249953.574975782,2285693.6613367354,2322001.4721997827,2358886.0257611037,2396356.4834692166,2434422.152300513,2473092.4870709423,2512377.092784414,2552285.727018506,2592828.302348066,2634014.888807318,2675855.7163910707,2718361.177595663,2761541.830000269,2805408.39888921,2849971.7799159153,2895243.041809206,2941233.4291225635,2987954.3650270714,3035417.4541487233,3083634.485450797,3132617.4351620195,3182378.4697512435,3232929.948949374,3284284.4288193,3336454.6648745923,3389453.6152477376,3443294.4439087035,3497990.5239346265,3553555.4408314405,3610002.995908268,3667347.2097054124,3725602.3254768043,3784782.812727765,3844903.370808968,3905978.932567486,3968024.668055841,4031055.9882999635,4095088.5491270144,4160138.255054002,4226221.263238176
1,Alaska,866946.0,841577.1190933415,816950.5913649158,793044.6938130951,769838.3391024189,747311.0569625058,725442.9761312765,704214.8068265605,683607.8237306254,663603.8494726183,644185.2385943502,625334.8619852794,607036.0917729636,589272.7866556533,572029.2776640874,555290.3543399333,539041.2513186771,523267.635305131,507955.59243006766,493091.61597682885,478662.59446708317,464655.8000952219,451058.87750119204,437859.8328718624,425047.0233613096,412609.1468206914,400535.23182864796,388814.62801343703,377436.9966582666,366392.30158153694,355670.8002839492,345263.0353546693,335159.82612896897,325352.26058998244,315831.6875074382,306589.7088064289,297618.1721594896,288909.1637954491,280455.0015187109,272248.2279328072,264281.6038622466,256548.10196685515,249040.90054297587,241753.37750606038,234679.1045493437
2,Arizona,2013729.0000000002,2048696.3478537584,2084270.8853620957,2120463.1560548837,2157283.88654486,2194743.989706766,2232854.567911689,2271626.9163175677,2311072.5262168325,2351203.0884421803,2392030.496831486,2433566.8517528805,2475824.46369104,2518815.856895751,2562553.773093827,2607051.175265486,2652321.2514862968,2698377.4188358444,2745233.3273742623,2792902.8641878185,2841400.157504751,2890739.58088257,2940935.7574680727,2992003.564331331,3043958.136874934,3096814.8733198,3150589.4392688754,3205297.7723500854,3260956.0869399044,3317580.87896895,3375188.930811022,3433797.3162570396,3493423.405575345,3554084.870659879,3615799.6902677524,3678586.1553477626,3742462.874461439,3807448.779298221,3873563.1302864067,3940825.5223015277,4009255.890473852,4078874.516096728,4149702.032637526,4221759.4318529535,4295068.070010564
3,Arkansas,1229088.0,1233611.5001653554,1238151.648490766,1242708.506247642,1247282.1349328945,1251872.5962697668,1256479.9522086664,1261104.264928001,1265745.5968350184,1270404.0105666479,1275079.568990346,1279772.335204945,1284482.372541504,1289209.7445641642,1293954.5150710065,1298716.748094912,1303496.507904427,1308293.8590046295,1313108.8661380007,1317941.5942852977,1322792.108666431,1327660.4747413446,1332546.7582108995,1337451.0250177602,1342373.3413472846,1347313.7736284174,1352272.3885345866,1357249.252984603,1362244.4341435633,1367257.999423757,1372290.0164855758,1377340.5532384268,1382409.6778416487,1387497.4587054318,1392603.9644917417,1397729.2641152455,1402873.4267442415,1408036.5218015932,1413218.618965666,1418419.7881712676,1423640.0996105918,1428879.6237341654,1434138.4312518,1439416.5931335448,1444714.1806106456
4,California,13113930.0,13350846.955370432,13592044.065030385,13837598.654474415,14087589.446163561,14342096.584763028,14601201.662835788,14864987.747000393,15133539.40456133,15406942.7306205,15685285.375678482,15968656.57373445,16257147.170893744,16550849.654492266,16849858.182747036,17154268.614942417,17464178.542161696,17779687.318573844,18100896.093285527,18427907.84276854,18760827.403873075,19099761.507437434,19444818.812504902,19796109.941158812,20153747.51398692,20517846.186186496,20888522.684321694,21265895.84374497,21650086.646694563,22041218.26108025,22439416.079969805,22844807.76178881,23257523.271246754,23677694.92100245,24105457.41408224,24540947.88706448,24984305.954044227,25435673.7513922,25895195.983322326,26363019.968282543,26839295.68618369,27324175.826481633,27817815.83712805,28320373.974405568,28832011.35366321
5,Colorado,1761327.0,1770368.8190790478,1779457.0545772263,1788591.9447744598,1797773.7291738887,1807002.6485081494,1816278.9447456857,1825602.8610970925,1834974.6420214933,1844394.5332329485,1853862.7817068987,1863379.635686639,1872945.3446898283,1882560.1595150314,1892224.3322482933,1901938.1162697505,1911701.7662602724,1921515.5382081398,1931379.6894157561,1941294.4785063933,1951260.165430973,1961277.0114748818,1971345.2792648217,1981465.2327756959,1991637.1373375298,2001861.2596424276,2012137.8677515644,2022467.2311022144,2032849.620514816,2043285.3082000702,2053774.56776608,2064317.6742255224,2074914.9040028595,2085566.5349415855,2096272.846311512,2107034.118816089,2117850.6345997658,2128722.677255387,2139650.5318316296,2150634.4848404746,2161674.8242647205,2172771.8395655327,2183925.821690034,2195137.063078931,2206405.8576741833
6,Connecticut,1130322.0,1129919.0276970435,1129516.199058173,1129113.5140321706,1128710.9725678368,1128308.57461399,1127906.3201194676,1127504.2090331244,1127102.241303834,1126700.4168804877,1126298.7357119955,1125897.1977472857,1125495.8029353044,1125094.551225016,1124693.442565403,1124292.4769054665,1123891.6541942256,1123490.9743807174,1123090.4374139972,1122690.0432431388,1122289.7918172337,1121889.6830853918,1121489.716996741,1121089.8935004275,1120690.2125456154,1120290.674081487,1119891.2780572434,1119492.0244221026,1119092.9131253015,1118693.9441160948,1118295.1173437557,1117896.4327575748,1117497.8903068616,1117099.489940943,1116701.231609164,1116303.1152608881,1115905.1408454967,1115507.3083123888,1115109.6176109822,1114712.068690712,1114314.6615010318,1113917.3959914132,1113520.2721113453,1113123.289810336,1112726.4490379107
7,Delaware,356655.0,360220.2926229508,363821.2256027935,367458.1552174479,371131.44130635704,374841.44730608974,378588.54028629925,382373.0909860412,386195.4738504548,390056.06706781057,393955.2526069284,397893.41625496984,401870.94765560783,405888.2403475785,409945.6918036178,414043.70346978796,418182.68080519635,422363.03332211205,426585.1746264831,430849.5224588589,435156.4987357216,439506.5295912306,443900.0454193848,448337.48091660556,452819.275124746,457345.87147452997,461917.7178294252,466535.2665299552,471198.974438454,475909.30298426835,480666.71820941166,485471.6908146744,490324.6962061957,495226.2145424998,500176.7307820036,505176.7347309984,510226.72109211155,515327.1895132527,520478.644637049,525681.5961507749,530936.5588367806,536244.052623425,541604.6026365176,547018.7392512747,552486.9981447948
8,District of Columbia,65844.0,67160.88,68504.09760000001,69874.17955200002,71271.66314304002,72697.09640590081,74151.03833401883,75634.0591006992,77146.74028271319,78689.67508836745,80263.4685901348,81868.7379619375,83506.11272117625,85176.23497559977,86879.75967511177,88617.354868614,90389.70196598629,92197.496005306,94041.44592541213,95922.27484392037,97840.72034079878,99797.53474761476,101793.48544256705,103829.3551514184,105905.94225444677,108024.0610995357,110184.54232152642,112388.23316795695,114635.99783131608,116928.71778794241,119267.29214370127,121652.6379865753,124085.6907463068,126567.40456123295,129098.75265245761,131680.72770550675,134314.34225961688,137000.62910480922,139740.6416869054,142535.4545206435,145386.1636110564,148293.88688327753,151259.76462094308,154284.95991336193,157370.65911162918
9,Florida,6299076.0,6405256.488763371,6513226.810860079,6623017.136648148,6734658.145052791,6848181.032139074,6963617.519829106,7080999.864766145,7200360.867328145,7321733.880793222,7445152.820659634,7570652.174122845,7698267.009712356,7828032.987090973,7959986.367019253,8094164.02148792,8230603.444021078,8369342.760153101,8510420.738082124,8653876.799503114,8799751.030623557,8948084.19336482,9098917.736752337,9252293.80849779,9408255.266776528,9566845.692203509,9728109.400011117,9892091.452432252,10058837.671292163,10228394.650812525,10400809.770631356,10576131.209042398,10754407.95645768,10935689.829096993,11120027.482908146,11307472.427721847,11498077.041645197,11691894.585697813,11888979.218694653,12089386.01237972,12293170.966814868,12500391.02602801,12711104.093925096,12925369.050470317,13143245.768139048
10,Georgia,3286713.0,3266810.84937234,3247029.212948264,3227367.3609738112,3207824.568113925,3188400.1134256963,3169093.280331767,3149903.356593896,3130829.634286684,3111871.409771457,3093027.983670309,3074298.660840304,3055682.750347828,3037179.5654431023,3018788.423534849,3000508.64616511,2982339.5589842172,2964280.491725916,2946330.7781826393,2928489.7561809304,2910756.7675570156,2893131.1581325233,2875612.277690352,2858199.4799506823,2840892.122547137,2823689.5670030825,2806591.1787080755,2789596.326894452,2772704.384614058,2755914.728715121,2739226.7398192617,2722639.8022986455,2706153.30425327,2689766.637488393,2673479.197492096,2657290.3834129833,2641199.598038015,2625206.2477704776,2609309.742608085,2593509.4961212124,2577804.925431264,2562195.4511891697,2546680.497554011,2531259.4921717816,2515931.866154269
11,Hawaii,927302.9999999999,923054.7689525945,918826.0002244442,914616.6046532913,910426.4934853553,906255.578373461,902103.7713751763,897970.9849509574,893857.1319623033,889762.1256699188,885685.8797318853,881628.30820184,877589.3255271646,873568.8465471807,869566.7864913545,865583.0609775094,861617.5860100469,857670.2779781756,853741.053654148,849829.8301915062,845936.5251233345,842061.0563605211,838203.342190027,834363.3012731632,830540.8526438755,826735.915707038,822948.4102367529,819178.2563746597,815425.3746282508,811689.685869196,807971.1113316735,804269.5726107097,800584.9916605259,796917.2907928926,793266.3926754913,789632.2203302846,786014.6971318923,782413.7468059766,778829.2934276332,775261.261419791,771709.5755516182,768174.1609369363,764654.9430326408,761151.8476371302,757664.8008887405
12,Idaho,674901.0,698115.3930223514,722128.285444461,746967.1430411523,772660.3763203152,799237.3730186424,826728.5317151126,855165.2966006679,884580.1934438547,915006.8667935657,946480.1184614343,979035.9473278983,1012711.5905174623,1047545.5659902546,1083577.7165985948,1120849.2556589635,1159402.8140915,1199282.489180943,1240533.8950147917,1283204.2146563714,1327342.2541124853,1372998.4981573764,1420225.1680768514,1469076.2813986144,1519607.7136771292,1571877.2624036798,1625944.7131147275,1681871.9077741809,1739722.815507792,1799563.6057705856,1861462.7240310092,1925490.9700583713,1991721.5789031112,2060230.3046625264,2131095.507127769,2204398.2414112138,2280222.350656718,2358654.5619388097,2439784.585460496,2523705.217163153,2610512.444865859,2700305.5580555797,2793187.26145377,2889263.7924893047,2988645.042812087
13,Illinois,4521288.0,4610141.763774239,4700741.7094632005,4793122.153579204,4887318.087033388,4983365.188389204,5081299.837376375,5181159.128670432,5282980.885943056,5386803.676188537,5492666.824331779,5600610.428123393,5710675.373327508,5822903.349208056,5937336.8643194055,6054019.26260731,6172994.739826281,6294308.3602796,6418006.073888312,6544134.733595658,6672742.113113553,6803876.925017819,6937588.839199029,7073928.501675959,7212947.553778762,7354698.651709139,7499235.486484912,7646612.804276552,7796886.427143369,7950113.274177217,8106351.383061718,8265659.932055179,8428099.26240552,8593730.90120571,8762617.584698359,8934823.282038318,9110413.219522242,9289453.905294336,9472013.15453763,9658160.115160305,9847965.293986835,10041500.58346382,10238839.288890677,10440056.15618546,10645227.400196347
14,Indiana,2814831.0,2862351.048896911,2910673.3324740445,2959811.3940777793,3009779.0056936136,3060590.1718060574,3112259.1333236867,3164800.3715704586,3218228.612344413,3272558.830044888,3327806.2518694135,3383986.362081459,3441114.9063502233,3499207.896163698,3558281.6133162216,3618352.614471803,3679437.735804475,3741554.0977169904,3804719.1096391804,3868950.474907314,3934266.195725837,4000684.5782128694,4068224.2375308867,4136904.103104012,4206743.423923392,4277761.773942132,4349979.057561314,4423415.51520863,4498091.729011188,4574028.628564093,4651247.496796409,4729769.975936151,4809618.073575984,4890814.168841312,4973381.018662507,5057341.764153021,5142719.937095177,5229539.466535446,5317824.685491075,5407600.337769928,5498891.584905469,5591724.013208809,5686123.640939822,5782116.925599308,5879730.77134427
15,Iowa,1547334.0,1580594.6539963603,1614570.261004976,1649276.1892687506,1684728.1373780167,1720942.1413715065,1757934.581989959,1795722.192085649,1834322.064191184,1873751.6582510006,1914028.8095190478,1955171.7366262388,1997199.0498213137,2040129.7593888447,2083983.2842481898,2128779.4607372847,2174538.5515852473,2221281.25507785,2269028.714420012,2317802.527299539,2367624.7556564417,2418517.9356622486,2470505.087913833,2523609.727846355,2577855.8763700393,2633268.070735592,2689871.375633177,2747691.3945299685,2806754.281251412,2867086.751811424,2928716.0964968945,2991670.192211946,3055977.5150875407,3121667.1533621363,3188768.820539217,3257312.8688276513,3327330.302870959,3398852.7937716926,3471912.693417278,3546543.0491138007,3622777.618534346,3700650.884988666,3780198.07302107,3861455.164343604,3944458.9141117153
16,Kansas,1283958.0,1295800.2295688635,1307751.6826490583,1319813.3666332678,1331986.2982055824,1344271.5034271951,1356670.017822889,1369182.886468322,1381811.164078117,1394555.915094764,1407418.2137783414,1420399.144297068,1433499.800818686,1446721.2876026891,1460064.7190934021,1473531.220013917,1487121.9254608962,1500837.9810002507,1514680.5427637,1528650.777546223,1542749.8629044078,1556978.987255708,1571339.3499786155,1585832.1615137558,1600458.643465917,1615220.0287070195,1630117.5614800346,1645152.497503863,1660326.1040791792,1675639.6601952536,1691094.4566377578,1706691.7960975666,1722432.9932805614,1738319.3750184479,1754352.2803805952,1770533.0607869064,1786863.08012173,1803343.7148488224,1819976.3541273715,1836762.3999290876,1853703.267156378,1870800.3837616083,1888055.1908674662,1905469.1428884335,1923043.7076533795
17,Kentucky,2156391.0,2166831.7982071172,2177323.1485948,2187865.295926227,2198458.4861496696,2209102.966404231,2219798.985025608,2230546.79155189,2241346.6367293764,2252198.7725184294,2263103.4520993503,2274060.929878287,2285071.4614931694,2296135.3038196736,2307252.7149772136,2318423.954334965,2329649.282517914,2340928.9614129406,2352263.2541749254,2363652.425232891,2375096.74029617,2386596.466360606,2398151.8717147787,2409763.2259462676,2421430.7999479384,2433154.865924264,2444935.697397675,2456773.569214941,2468668.757553583,2480621.539928315,2492632.1951975217,2504701.003569761,2516828.246610302,2529014.207247696,2541259.1697803745,2553563.419883284,2565927.244614549,2578350.9324221704,2590834.7731507546,2603379.0580482753,2615984.079772868,2628650.1323996596,2641377.5114276265,2654166.5137864905,2667017.4378436455
18,Louisiana,5953395.0,5965378.488541446,5977386.098445177,5989417.878264678,6001473.876651164,6013554.142353782,6025658.724219804,6037787.671194824,6049941.032322962,6062118.856747054,6074321.193708857,6086548.092549245,6098799.6027084105,6111075.773726062,6123376.655241626,6135702.29699445,6148052.748823995,6160428.060670049,6172828.2825729195,6185253.464673641,6197703.657214176,6210178.910537616,6222679.27508839,6235204.801412465,6247755.54015755,6260331.542073303,6272932.858011534,6285559.538926414,6298211.6358746765,6310889.200015827,6323592.28261235,6336320.935029914,6349075.208737581,6361855.155308015,6374660.826417688,6387492.273847093,6400349.5494809495,6413232.705308415,6426141.793423296,6439076.866024257,6452037.975415031,6465025.174004637,6478038.514307581,6491078.048944078,6504143.830640262
19,Maine,735258.0,752081.8195245044,769290.5935865901,786893.1305306283,804898.4402492841,823315.7387952489,842154.4530984937,861424.2257914623,881134.9201446709,901296.6251152424,921919.6605109589,943014.5822724748,964592.187876396,986663.5218619892,1009239.8814843502,1032332.8224969265,1055954.1650663516,1080115.9998226208,1104830.6940477027,1130110.8980057575,1155969.5514181983,1182419.8900869132,1209475.452669036,1237150.0876067341,1265457.9602155604,1294413.5599349977,1324031.707744906,1354327.5637516703,1385316.6349479302,1417014.7831498643,1449438.233116091,1482603.5808523435,1516527.802106167,1551228.2610559878,1586722.7191990023,1623029.3444424334,1660166.7204028093,1698153.855918023,1737010.1947770438,1776755.6256722575,1817410.492379533,1858995.604171222,1901532.2464674276,1945042.191730986,1989547.710611744
20,Maryland,1695483.0,1701777.5987176185,1708095.5665713567,1714436.9903207603,1720801.9570474753,1727190.5541564445,1733602.8693771078,1740038.9907646067,1746499.0067009937,1752983.0058964454,1759491.0773904815,1766023.310553187,1772579.7950864395,1779160.621025141,1785765.8787384548,1792395.6589310453,1799050.052644325,1805729.1512577033,1812433.0464898425,1819161.8303999167,1825915.595388876,1832694.4342007157,1839498.4399237495,1846327.7059918877,1853182.326185921,1860062.3946348072,1866968.0058169651,1873899.2545615707,1880856.2360498603,1887839.0458164366,1894847.7797505818,1901882.5340975735,1908943.4054600063,1916030.490799119,1923143.8874361257,1930283.6930535522,1937450.0056965777,1944642.9237743807,1951862.5460614907,1959108.9716991445,1966382.3001966476,1973682.6314327412,1981010.0656569726,1988364.7034910729,1995746.6459303382
21,Massachusetts,2128956.0,2154588.7534933323,2180530.126822701,2206783.8357888004,2233353.640930778,2260243.3480648915,2287456.808829647,2314997.921237501,2342870.6302332045,2371078.928258873,2399626.855825856,2428518.502093493,2457758.0054548397,2487349.554129442,2517297.386763254,2547605.7930357708,2578279.1142744767,2609321.7440766916,2640738.128938901,2672532.7688936647,2704710.218154196,2737275.0857666987,2770232.0362705593,2803585.7903664894,2837341.1255927095,2871502.8770092777,2906075.937890655,2941065.2604266093,2976475.856431561,3012312.798062466,3048581.2185453437,3085286.312910551,3122433.3387369127,3160027.616904806,3198074.532358316,3236579.534876566,3275548.1398543366,3314985.92909208,3354898.5515954485,3395291.724384451,3436171.2333123465,3477542.9338944037,3519412.752146634,3561786.685434623,3604670.8033325872
22,Michigan,3187947.0,3266831.969130402,3347668.9275362543,3430506.1767149586,3515393.2133726613,3602380.758999401,3691520.7901760866,3782866.569631416,3876472.678067285,3972395.0467717163,4070690.991038779,4171419.2444154816,4274639.993796095,4380414.915384876,4488807.211548673,4599881.648581454,4713704.595403296,4830344.063216978,4949869.746145863,5072353.062877361,5197867.199336838,5326487.152417493,5458289.774792312,5593353.820834884,5731759.993676521,5873590.993427786,6018931.566593261,6167868.556709067,6320490.956233392,6476889.959721046,6637159.018313803,6801393.895579094,6969692.724730413,7142156.067263632,7318886.973044251,7499991.041881499,7685576.486626068,7875754.197829184,8070637.810001655,8270343.769512474,8474991.404167568,8684702.99451025,8899603.846885981,9119822.368315104,9345490.14321829
23,Minnesota,2183826.0,2187637.8752854983,2191456.4042115305,2195281.5983920475,2199113.469461272,2202952.029073735,2206797.2889043097,2210649.2606482487,2214507.956021218,2218373.3867593342,2222245.5646191984,2226124.501377933,2230010.208833218,2233902.698803326,2237801.983127158,2241708.0736642806,2245620.9822949604,2249540.720920202,2253467.301461783,2257400.7358622896,2261341.036085155,2265288.214114694,2269242.2819561404,2273203.2516356832,2277171.1352005024,2281145.944718807,2285127.692279871,2289116.389994071,2293112.0499929204,2297114.68442911,2301124.305476543,2305140.925330371,2309164.5562070333,2313195.2103442927,2317232.900001273,2321277.6374584967,2325329.4350179215,2329388.3050029785,2333454.2597586093,2337527.3116513034,2341607.473069137,2345694.756421808,2349789.1741406773,2353890.7386788037,2357999.4625109835
24,Mississippi,1821684.0000000002,1886121.3034713513,1952837.9078964677,2021914.4375808053,2093434.3687036019,2167484.130195447,2244153.208184133,2323534.2541350042,2405723.196816488,2490819.358226114,2578925.5736171105,2670148.315770631,2764597.8236637833,2862388.235688953,2963637.727585415,3068468.655249909,3177007.7025987725,3289386.034660303,3405739.4560823664,3526208.575246795,3650938.9741889047,3780081.384527467,3913791.869617747,4052232.0131477257,4195569.114405422,4343976.390453282,4497633.1854539635,4656725.187400468,4821444.652512534,4991990.637570465,5168569.240467165,5351393.84926906,5540685.400086914,5736672.644068134,5939592.423833239,6149689.959690545,6367219.145974939,6592442.85786887,6825633.269076322,7067072.180733679,7317051.361954943,7575872.902422858,7843849.577452011,8121305.225965093,8408575.141839076
