State,截距,pop,GDP,coal,natural_gas,petroleum,mining,construction,manufacturing
Alabama,10.019689653668138,-0.558807789951203,-0.06981182352366488,0.4406381182276995,0.21047336797520488,0.34847182430496915,-0.007181668541687891,0.02099890094959722,0.05713833200829299
Alaska,0.1360234030327092,-0.003334689637004118,0.035071095223704774,0.04101375389865236,0.5352990369006685,0.4816087542222318,0.0034456210901645523,-0.0025846225926482447,0.002897885141654122
Arizona,0.5667362836385195,0.029802782420624396,0.03548657108196451,0.4199147956250924,0.160857504758118,0.28206288119576683,-0.003939263448411889,0.018372626390388724,-0.017491476865365563
Arkansas,1.0739840320860878,-0.0966124378857689,0.11425016055267179,0.4104410983926119,0.21595047553465108,0.33985574399195784,0.0007506279812150574,0.000997637937111051,-0.019273765865705172
California,0.28202861636862053,0.02964991373585235,-0.005440918790831972,0.0191766646842515,0.3615851709264888,0.6256694477640004,0.0010623262725140137,0.007450481676233078,-0.006692293613743683
Colorado,1.4721931162597457,-0.010556175805138679,-0.01794110748983435,0.38885413161592375,0.24152554284267502,0.3662341772448112,0.0013984564468743077,0.00010166615146911528,0.005993042952282535
Connecticut,7.243016805282025,-0.38247178004136373,-0.06874065974775156,0.03168553842653976,0.2139099962907003,0.6735114871709608,0.03255378875407722,0.005264134499119777,0.034729659091841114
Delaware,-9.910302737674613,0.868514463736556,-0.132116595375723,0.17576070948802802,0.2410700402948991,0.7978198538804602,0.014095132022141521,-0.03495772059217317,0.11472108300082917
District of Columbia,9.823625863868145,-0.31837789662394056,-0.3084724569375714,0.009312051539209054,0.5360306476986785,0.4114141823400832,-0.0012446167977679112,0.032799027262292,0.012098294447907637
Florida,0.6129527390535259,0.08294168481055042,-0.03561251309150748,0.16974722454787994,0.1568035457398551,0.573763540249125,0.002755999582015889,-0.016211803627327548,0.009281953234339113
Georgia,1.779490937521416,-0.017110005410120976,-0.025832848651099027,0.3480826166847936,0.14443554614847276,0.39139419273512654,-0.000553520022231524,0.054254755319775416,-0.009693024027104258
Hawaii,1.5584761189812184,-0.005020312076819522,-0.07964159978260366,0.023305318056543234,-0.0005622329841627471,0.9305687410408634,0.005746347523249762,0.002224812210573468,-0.0016660791109042172
Idaho,0.6389133046929487,-0.05008122866303211,0.07813332594432154,0.038973822849032835,0.3064496196484239,0.6726221769117764,0.00550519023001117,-0.027047021294072326,-0.02077460300923928
Illinois,1.161093424151204,-0.052534236010501445,0.07778697545686342,0.39372764966873053,0.21877553869238753,0.3636569683472146,0.0054211100625432,-0.005467160578726649,-0.026244371895952412
Indiana,-1.6959994209760225,0.21209602807036276,-0.04840494525368655,0.567471970219799,0.10649969548422789,0.26487834785930886,-0.027012182382364358,0.01777277415581935,0.030733200304334574
Iowa,-1.9409910198364742,0.18772161039456137,0.020925197790398364,0.5083236261283304,0.14050430607603115,0.346051943002216,-0.017463381546273915,0.04440937206676665,-0.042647526574969064
Kansas,0.9081377887781628,-0.054518566897357346,0.10180803098032953,0.4401009862638947,0.20254916108697607,0.3166765769125739,0.001938104049622691,-0.03838816897513375,-0.015354855323298722
Kentucky,1.060379832447154,-0.04915960891700877,0.04512367172405618,0.6123562153330608,0.08430426300140725,0.2795028093554244,0.0018757568099654343,0.007037234206585197,-0.009390482092619834
Louisiana,3.080457046891297,-0.11504957190518894,-0.022607934435274757,0.09592472372118427,0.355829939706124,0.5323604661758541,-0.00404690468471014,-0.001864420360619956,0.009608371814760819
Maine,7.411857062179081,-0.4371265251605365,0.11385299505382918,0.025495131042701846,0.08227169689319769,0.5576434764115277,-0.049217637982356344,0.04268997799638807,-0.20423207150217992
Maryland,2.4503714562730465,-0.13974235804320756,0.04007695903876751,0.3344991475921688,0.14768270039087028,0.5084612462997105,0.0023923401629430963,0.01576195578250439,-0.0018684518919158677
Massachusetts,7.463897335984598,-0.3734035360331376,-0.0644940108329024,0.06507861145237226,0.2219996723784936,0.6014379270895756,0.009358048643258066,0.019617749453008315,0.03610829064323262
Michigan,0.42664593783069904,0.013416897660164295,0.05690965920031488,0.35871478357735986,0.2295578575661743,0.37481241661960496,-0.00294224304166546,-0.0017767885693622532,-0.019884420797117386
Minnesota,2.541919106142359,-0.11178841465646272,0.00955335952526326,0.31793244767895956,0.20666719463714145,0.42386058333568144,0.002654389107561439,0.012995517254365652,0.014416160812132262
Mississippi,8.65632845628943,-0.7413461338791336,0.2232235424489346,0.1398919676900956,0.32754440608102353,0.6515546269446801,0.025674937667460096,-0.01380322114454735,-0.04289201829918099
Missouri,-3.561469747544834,0.10615458489971275,0.2266205833911954,0.5289364385391364,0.11495745958052694,0.39265875104374004,0.00023550805580740963,-0.0340055711992715,-0.03959049366189049
Montana,3.110650801260192,-0.20836847184224716,0.04724315606145524,0.5265456549013834,0.058036652357095875,0.2790603198697692,0.015887405527047926,0.032498361104344564,-0.009965995147655171
Nebraska,1.5285459627633031,0.0298339260460736,-0.07550928119703215,0.4792758117198459,0.15209069290958666,0.36542182978339355,0.010268994664026865,0.004010545881222516,0.01683751745221196
Nevada,-3.384683477533258,0.021656073687374544,0.3971777861341508,0.15810935763737488,0.28816177706217516,0.2503825261757271,-0.061452155392461405,-0.03535484657261012,-0.038247459104381765
New Hampshire,9.876392560554677,-0.7417827965833084,0.05682289777243987,0.11703871881161343,0.1324016999877642,0.6221213319503383,0.007642734155001607,0.06707619306702695,0.026731616485694776
New Jersey,6.088371042141262,-0.2878760943156067,-0.0882250982850934,0.04107564199469138,0.29344196924929244,0.6400062732404663,-0.0013098434196017195,0.06901802692535419,0.010827621277960553
New Mexico,0.3164400632188489,0.016171287883452123,0.03743652922147689,0.46352430867921,0.2274890878474558,0.29535890034960843,-0.0059171363079459915,0.006582536010681261,-0.0012902200536495378
New York,20.25669734520568,-1.2073405766098162,0.03390172531530311,0.04318850899145921,0.35620009724101775,0.6296820812343622,-0.014972778259546349,-0.0031614428328747834,0.026721370053508497
North Carolina,1.4023233587575987,-0.09577238092144569,0.06945096259385508,0.3712078483387131,0.1308587359049822,0.5074309585888201,0.005682211161394335,0.0029213021154572694,-0.0009665907603331192
North Dakota,-1.16567318768341,0.13092191558263266,-0.004493280115081433,0.7758208205128803,0.030713770209060964,0.23743001268171726,-0.009134618640570524,0.011424683863749507,0.0015700402646589562
Ohio,17.963357709190404,-1.1129885545939828,0.10443159131087043,0.4194220779972042,0.16149955816526784,0.42179181204134153,0.015966169819471077,-0.029444751795377755,-0.022574890170492523
Oklahoma,3.1206873902951315,-0.1764054512324318,0.051115866152272815,0.2876444000206293,0.32575083509438585,0.35294266801554386,-0.003160573058495597,0.014336444762529155,-0.009376309671573324
Oregon,1.3964270353119446,0.005223642294239994,0.006696395861467863,0.07593610002606499,0.29091301227135524,0.5144160775991438,0.017974541452535853,0.007578457650094794,-0.048542934924777015
Pennsylvania,9.48196698907941,-0.4618095850782993,-0.08668506078472049,0.38686151095923815,0.20548700603000825,0.38322760760146934,-0.006358845168812799,0.04740133706651761,0.016642242576992317
Rhode Island,-0.9249531829408397,0.4300718752057122,-0.31395102678790954,-0.0009225295512270693,0.42045098083392496,0.4480032618722265,0.001875137399429766,0.08058346939221472,0.011630385835222024
South Carolina,1.9390189331249985,-0.09683601819211418,-0.004031950897640968,0.39616248648902186,0.12082998992943672,0.46088748590586626,0.01134245612442486,0.0028850201747951942,0.057813108810748304
South Dakota,-4.556804292285619,0.48797746875233017,-0.03218139896032435,0.22116188197434505,0.19032187973153736,0.443912348283642,-0.024975576851590464,-0.03387142295216217,0.008230825892982407
Tennessee,2.738739713902305,-0.06591747249696667,-0.10782132477748863,0.4620889757913176,0.15203382156798817,0.39460469736264514,-0.004533086685128751,0.03150504914405872,0.06343415912012951
Texas,1.5743618131077106,-0.021412327481428406,-0.010511170590159935,0.23831063236115924,0.31344848722319796,0.4282141576594434,-0.0026538557720137135,0.013311722368394285,0.002452476008316662
Utah,0.6209035267717127,0.08288685948796992,-0.048781213789904854,0.5364021984033043,0.12789651565584492,0.2792147913949705,-0.0007852001166925859,0.014441757297099622,-0.006302985845056508
Vermont,4.537081856339,-0.42404960481580645,0.1125558829227522,0.011535891686289879,0.04479116724811105,0.9133847866388529,0.0007148850873085477,-0.012035105897536091,-0.022806222924921293
Virginia,2.917238593447678,-0.12453884463851495,-0.003510286067401225,0.2565264989682694,0.1481128165466088,0.5095723458938632,-0.021631667667671994,0.03876480291620865,0.02052667094159233
Washington,0.3988975169489777,0.035069006237659295,-0.004686546858984286,0.10576842524517649,0.16530974559953826,0.6997445951913566,-0.006231881008031515,0.0034213194814363135,0.003050092173709995
West Virginia,-0.08501072697072232,0.016602797250556023,0.039689162901773045,0.7987370973184458,0.0701856919398125,0.12542494836227647,-0.0010101395968487026,0.0017495399603753015,-0.010764519249787163
Wisconsin,1.3195783640906313,-0.0028038281882647453,-0.024920670514593013,0.4076858558095284,0.20086467930877383,0.3701763574068586,-0.001121542040392054,0.014882703001362074,0.011617389138891099
Wyoming,0.2575842379827691,-0.007689458260871973,0.03382615263888589,0.7735146436167,0.11452726232191068,0.16004272694349098,0.001754130473060167,-0.012061123585507039,-0.0010707128239091368
